# Exact known failures of examples whose expectation is `compile`.
# Format: file :: section :: sorted(error-tokens) || reason
# Migration debt only; new signatures fail and stale entries must be removed.

anti-block-on-async.md :: Good :: E0277,E0425 || legacy compile failure: repair example or add explicit rust-check metadata
anti-blocking-async-drop.md :: Good :: E0107,E0277,E0599 || legacy compile failure: repair example or add explicit rust-check metadata
anti-clone-excessive.md :: Good :: E0425,P:`self` parameter is only allowed || extraction artifact: wrapper/context
anti-collect-intermediate.md :: Good :: E0425 || standalone fragment: unresolved context
anti-deref-overuse.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
anti-empty-catch.md :: Good :: E0425,P:cannot find macro `error` in,P:cannot find macro `info` in,P:cannot find macro `warn` in || standalone fragment: unresolved context
anti-expect-lazy.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
anti-format-hot-path.md :: Good :: E0425 || standalone fragment: unresolved context
anti-lock-across-await.md :: Good :: E0425 || standalone fragment: unresolved context
anti-over-abstraction.md :: Good :: E0425 || standalone fragment: unresolved context
anti-panic-expected.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
anti-premature-optimize.md :: Good :: E0308,E0425,E0433 || legacy compile failure: repair example or add explicit rust-check metadata
anti-string-for-str.md :: Good :: E0425 || standalone fragment: unresolved context
anti-stringly-typed.md :: Good :: E0308,E0425,E0433,E0586,P:unexpected token: `...` || legacy compile failure: repair example or add explicit rust-check metadata
anti-type-erasure.md :: Good :: E0405,E0425 || standalone fragment: unresolved context
anti-unsafe-send-sync.md :: Good :: E0425 || standalone fragment: unresolved context
anti-unsafe-send-sync.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
anti-unwrap-abuse.md :: Good :: E0267,E0425,E0433 || legacy compile failure: repair example or add explicit rust-check metadata
anti-vec-for-slice.md :: Good :: E0425 || standalone fragment: unresolved context
api-bon-builder.md :: Good :: E0061,E0425,E0432,E0433,E0599,P:cannot find attribute `builder` in || legacy compile failure: repair example or add explicit rust-check metadata
api-builder-must-use.md :: Good :: E0425,E0433,E0599 || legacy compile failure: repair example or add explicit rust-check metadata
api-builder-pattern.md :: Good :: E0422,E0425,E0433 || standalone fragment: unresolved context
api-common-traits.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
api-default-impl.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
api-extension-trait.md :: Good :: E0432 || standalone fragment: unresolved context
api-impl-asref.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
api-impl-into.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
api-must-use.md :: Good :: E0425,E0586,P:unexpected token: `...` || extraction artifact: wrapper/context
api-newtype-safety.md :: Good :: E0308,E0586,P:expected identifier, found `...`,P:unexpected token: `...` || legacy compile failure: repair example or add explicit rust-check metadata
api-non-exhaustive.md :: Good :: E0425,E0586,P:unexpected token: `...` || extraction artifact: wrapper/context
api-nutype-validated.md :: Good :: E0432,E0599 || legacy compile failure: repair example or add explicit rust-check metadata
api-parse-dont-validate.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
api-sealed-trait.md :: Good :: E0425,E0586,P:unexpected token: `...` || extraction artifact: wrapper/context
api-serde-optional.md :: Good :: P:expected `;`, found `#`,P:expected `;`, found `default`,P:expected `;`, found `serde`,P:expected one of `.`, `;`, || legacy compile failure: repair example or add explicit rust-check metadata
api-typestate.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
async-blocking-detection.md :: Good :: E0433,E0599,P:cannot find macro `error` in,P:cannot find macro `warn` in || legacy compile failure: repair example or add explicit rust-check metadata
async-bounded-channel.md :: Good :: E0425 || standalone fragment: unresolved context
async-broadcast-pubsub.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
async-cancellation-token.md :: Good :: E0425 || standalone fragment: unresolved context
async-clone-before-await.md :: Good :: E0425 || standalone fragment: unresolved context
async-join-parallel.md :: Good :: E0107,E0425,E0433 || legacy compile failure: repair example or add explicit rust-check metadata
async-joinset-structured.md :: Good :: E0425 || standalone fragment: unresolved context
async-no-lock-await.md :: Good: Extract, Await, Then Update :: E0425 || standalone fragment: unresolved context
async-oneshot-response.md :: Good :: E0422,E0425 || standalone fragment: unresolved context
async-runtime-metrics.md :: Good :: E0433,P:cannot find macro `warn` in || standalone fragment: unresolved context
async-select-racing.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
async-spawn-blocking.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
async-tokio-fs.md :: Good :: E0107,E0425 || legacy compile failure: repair example or add explicit rust-check metadata
async-tokio-runtime.md :: Good :: E0425,E0428,E0433 || legacy compile failure: repair example or add explicit rust-check metadata
async-try-join.md :: Good :: E0107,E0425 || legacy compile failure: repair example or add explicit rust-check metadata
async-watch-latest.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
closure-async-closures.md :: Good :: E0728 || legacy compile failure: repair example or add explicit rust-check metadata
doc-all-public.md :: Good :: E0425 || standalone fragment: unresolved context
doc-cfg-patterns.md :: Good :: E0583,E0658 || legacy compile failure: repair example or add explicit rust-check metadata
doc-errors-section.md :: Good :: E0425 || standalone fragment: unresolved context
doc-examples-section.md :: Good :: E0425 || standalone fragment: unresolved context
doc-hidden-public.md :: Good :: E0425,E0432,P:expected identifier, found `...` || extraction artifact: wrapper/context
doc-hidden-setup.md :: Good :: E0425 || standalone fragment: unresolved context
doc-hidden-setup.md :: Good :: E0425,P:`self` parameter is only allowed || extraction artifact: wrapper/context
doc-intra-links.md :: Good :: E0405,E0425,P:`self` parameter is only allowed || extraction artifact: wrapper/context
doc-link-types.md :: Good :: E0425 || standalone fragment: unresolved context
doc-panics-section.md :: Good :: E0425,P:`self` parameter is only allowed || extraction artifact: wrapper/context
doc-question-mark.md :: Good :: E0425,E0601,P:`self` parameter is only allowed || legacy compile failure: repair example or add explicit rust-check metadata
err-anyhow-app.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
err-clippy-unwrap-types.md :: Good :: E0425 || standalone fragment: unresolved context
err-context-chain.md :: Good :: E0425 || standalone fragment: unresolved context
err-custom-type.md :: Good :: E0425 || standalone fragment: unresolved context
err-diagnostic-do-not-recommend.md :: Good :: E0210 || legacy compile failure: repair example or add explicit rust-check metadata
err-doc-errors.md :: Good :: E0425,E0601 || legacy compile failure: repair example or add explicit rust-check metadata
err-expect-bugs-only.md :: Good :: E0405,E0425,E0433,P:`self` parameter is only allowed || extraction artifact: wrapper/context
err-from-impl.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
err-no-std-error.md :: Good :: E0425 || standalone fragment: unresolved context
err-no-unwrap-prod.md :: Good :: E0425,E0433,P:`self` parameter is only allowed || extraction artifact: wrapper/context
err-question-mark.md :: Good :: E0425,E0428,E0433 || legacy compile failure: repair example or add explicit rust-check metadata
err-result-over-panic.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
err-source-chain.md :: Good :: E0425 || standalone fragment: unresolved context
err-thiserror-lib.md :: Good :: E0425 || standalone fragment: unresolved context
err-try-block-experimental.md :: Good (experimental, nightly only) :: E0308,E0554 || legacy compile failure: repair example or add explicit rust-check metadata
lint-clippy-nursery-selected.md :: Good :: E0422,E0425 || standalone fragment: unresolved context
lint-unsafe-doc.md :: Good :: E0106,E0425 || legacy compile failure: repair example or add explicit rust-check metadata
macro-export-crate-path.md :: Good :: E0432 || standalone fragment: unresolved context
macro-proc-error-spans.md :: Good :: E0432,P:the `#[proc_macro_derive]` attribute is only || legacy compile failure: repair example or add explicit rust-check metadata
macro-proc-syn-quote.md :: Good :: E0432,P:the `#[proc_macro_derive]` attribute is only || legacy compile failure: repair example or add explicit rust-check metadata
macro-proc-two-crate.md :: Good :: E0432,E0433 || standalone fragment: unresolved context
macro-rules-hygiene.md :: Good :: E0432 || standalone fragment: unresolved context
mem-arena-allocator.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
mem-arrayvec.md :: Good :: E0107,E0425 || legacy compile failure: repair example or add explicit rust-check metadata
mem-assert-type-size.md :: Good :: E0425,E0512 || legacy compile failure: repair example or add explicit rust-check metadata
mem-avoid-format.md :: Good :: E0425 || standalone fragment: unresolved context
mem-box-new-uninit.md :: Good :: E0425,E0609 || legacy compile failure: repair example or add explicit rust-check metadata
mem-boxed-slice.md :: Good :: E0425 || standalone fragment: unresolved context
mem-clone-from.md :: Good :: E0425 || standalone fragment: unresolved context
mem-compact-string.md :: Good :: E0432 || standalone fragment: unresolved context
mem-ecow-clone-heavy.md :: Good :: E0425,E0432,E0433 || standalone fragment: unresolved context
mem-reuse-collections.md :: Good :: E0107,E0425 || legacy compile failure: repair example or add explicit rust-check metadata
mem-slotmap-arena.md :: Good :: E0425,E0432,E0433 || standalone fragment: unresolved context
mem-smallvec.md :: Good :: E0425 || standalone fragment: unresolved context
mem-thinvec.md :: Good :: E0425 || standalone fragment: unresolved context
mem-with-capacity.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
mem-write-over-format.md :: Good :: E0425 || standalone fragment: unresolved context
name-acronym-word.md :: Good :: E0586,P:expected identifier, found `...`,P:unexpected token: `...` || extraction artifact: wrapper/context
name-as-free.md :: Good :: E0425 || standalone fragment: unresolved context
name-consts-screaming.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
name-funcs-snake.md :: Good :: E0586,P:expected item, found keyword `let`,P:unexpected token: `...` || legacy compile failure: repair example or add explicit rust-check metadata
name-into-ownership.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
name-is-has-bool.md :: Good :: E0425,E0433,E0586,P:unexpected token: `...` || extraction artifact: wrapper/context
name-lifetime-short.md :: Good :: E0425,E0586,P:unexpected token: `...` || extraction artifact: wrapper/context
name-no-get-prefix.md :: Good :: E0425 || standalone fragment: unresolved context
name-to-expensive.md :: Good :: E0425 || standalone fragment: unresolved context
name-type-param-single.md :: Good :: E0586,P:expected identifier, found `...`,P:unexpected token: `...` || extraction artifact: wrapper/context
name-types-camel.md :: Good :: P:expected identifier, found `...`,P:non-item in item list || legacy compile failure: repair example or add explicit rust-check metadata
name-word-order.md :: Good :: E0255 || legacy compile failure: repair example or add explicit rust-check metadata
obs-library-facade.md :: Good :: E0433 || standalone fragment: unresolved context
opt-bounds-check.md :: Good :: E0425 || standalone fragment: unresolved context
opt-cold-unlikely.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
opt-inline-always-rare.md :: Good :: E0405,E0425,P:`self` parameter is only allowed || extraction artifact: wrapper/context
opt-inline-never-cold.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
opt-inline-small.md :: Good :: E0425 || standalone fragment: unresolved context
own-borrow-over-clone.md :: Good :: E0425 || standalone fragment: unresolved context
own-clone-explicit.md :: Good :: E0425 || standalone fragment: unresolved context
own-cow-rpit-edition2024.md :: Good (Edition 2024) :: E0425,E0433 || standalone fragment: unresolved context
own-lazy-init.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
own-lifetime-elision.md :: Good :: E0405,E0425,E0433 || standalone fragment: unresolved context
own-move-large.md :: Good :: E0425,E0599 || legacy compile failure: repair example or add explicit rust-check metadata
own-rc-single-thread.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
own-refcell-interior.md :: Good :: E0425,E0599 || legacy compile failure: repair example or add explicit rust-check metadata
own-rwlock-readers.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
pat-matches-macro.md :: Good for `is_*` Helper Methods :: E0425 || standalone fragment: unresolved context
perf-array-windows.md :: Good :: E0283 || standalone fragment: type inference needs surrounding context
perf-atomic-update.md :: Good :: E0277,E0308 || legacy compile failure: repair example or add explicit rust-check metadata
perf-black-box-bench.md :: Good :: E0425 || standalone fragment: unresolved context
perf-collect-into.md :: Good :: E0425,E0658,P:an inner attribute is not || legacy compile failure: repair example or add explicit rust-check metadata
perf-collect-once.md :: Good :: E0425 || standalone fragment: unresolved context
perf-copy-range.md :: Good :: E0425 || standalone fragment: unresolved context
perf-drain-reuse.md :: Good :: E0425 || standalone fragment: unresolved context
perf-entry-api.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
perf-extend-batch.md :: Good :: E0107,E0425 || legacy compile failure: repair example or add explicit rust-check metadata
perf-extract-if.md :: Good :: E0061,E0282,E0425 || legacy compile failure: repair example or add explicit rust-check metadata
perf-hint-apis.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
perf-profile-first.md :: Good :: E0425 || standalone fragment: unresolved context
